content_unit_code,mistake_category_code,weight
A1-01,SEIN_HABEN,3
A1-01,VERBKONJUGATION,3
A1-01,W_FRAGEN,2
A1-01,WORTSTELLUNG,1
A1-02,ARTIKEL,3
A1-02,PLURAL,3
A1-02,NEGATION,2
A1-03,TRENNBARE_VERBEN,3
A1-03,VERBKONJUGATION,2
A1-03,WORTSTELLUNG,2
A1-04,MODALVERBEN,3
A1-04,WORTSTELLUNG,2
A1-05,AKKUSATIV,3
A1-05,POSSESSIV,3
A1-06,ZEITANGABEN,3
A1-06,W_FRAGEN,1
A1-07,DATIV,3
A1-07,WORTSCHATZ,1
A1-08,PERFEKT,3
A1-08,VERBKONJUGATION,1
A1-09,IMPERATIV,3
A1-09,WECHSELPRAEPOSITIONEN,2
A1-10,ARTIKEL,1
A1-10,AKKUSATIV,1
A1-10,DATIV,1
A1-10,PERFEKT,1
A2-01,PERFEKT,3
A2-01,VERBKONJUGATION,1
A2-02,PRAETERITUM,3
A2-02,PERFEKT,1
A2-03,DATIV,3
A2-04,WECHSELPRAEPOSITIONEN,3
A2-04,AKKUSATIV,1
A2-04,DATIV,1
A2-05,NEBENSATZ,3
A2-05,WORTSTELLUNG,2
A2-06,NEBENSATZ,3
A2-06,WORTSTELLUNG,1
A2-07,KOMPARATIV,3
A2-08,REFLEXIV,3
A2-09,ADJEKTIVDEKLINATION,3
A2-09,ARTIKEL,1
A2-10,KONJUNKTIV2,3
A2-11,WORTSCHATZ,2
A2-11,NEBENSATZ,1
A2-12,PERFEKT,1
A2-12,PRAETERITUM,1
A2-12,NEBENSATZ,1
A2-12,ADJEKTIVDEKLINATION,1
A2-EX1,LESEVERSTEHEN,3
A2-EX1,WORTSCHATZ,2
A2-EX2,HOERVERSTEHEN,3
A2-EX2,WORTSCHATZ,2
A2-EX3,WORTSCHATZ,2
A2-EX3,NEBENSATZ,1
A2-EX4,WORTSCHATZ,2
A2-KK,WORTSCHATZ,3
A2-MOCK1,LESEVERSTEHEN,1
A2-MOCK1,HOERVERSTEHEN,1
A2-MOCK1,WORTSCHATZ,1
A2-MOCK2,LESEVERSTEHEN,1
A2-MOCK2,HOERVERSTEHEN,1
A2-MOCK2,WORTSCHATZ,1
A2-MOCK3,LESEVERSTEHEN,1
A2-MOCK3,HOERVERSTEHEN,1
A2-MOCK3,WORTSCHATZ,1
A2-REV,WORTSCHATZ,2
A2-REV,PERFEKT,1
A2-REV,NEBENSATZ,1
A2-PROVA,WORTSCHATZ,1
