code,name_tr,skill
ARTIKEL,Artikel (der/die/das),GRAMMAR
PLURAL,Çoğul biçimleri,GRAMMAR
VERBKONJUGATION,Fiil çekimi (Präsens),GRAMMAR
SEIN_HABEN,sein ve haben,GRAMMAR
NEGATION,Olumsuzluk (nicht/kein),GRAMMAR
AKKUSATIV,Akkusativ (-i hâli),GRAMMAR
DATIV,Dativ (-e hâli),GRAMMAR
POSSESSIV,İyelik (mein/dein/sein),GRAMMAR
MODALVERBEN,Modal fiiller,GRAMMAR
TRENNBARE_VERBEN,Ayrılabilen fiiller,GRAMMAR
WORTSTELLUNG,Cümlede fiil pozisyonu,GRAMMAR
W_FRAGEN,Soru sözcükleri ve soru kurma,GRAMMAR
ZEITANGABEN,Zaman ifadeleri ve edatları,GRAMMAR
PERFEKT,Perfekt (geçmiş zaman),GRAMMAR
PRAETERITUM,Präteritum (war/hatte/modal),GRAMMAR
WECHSELPRAEPOSITIONEN,Yön/yer edatları,GRAMMAR
NEBENSATZ,Yan cümle (weil/dass/wenn/ob),GRAMMAR
KOMPARATIV,Karşılaştırma ve üstünlük,GRAMMAR
REFLEXIV,Dönüşlü fiiller,GRAMMAR
ADJEKTIVDEKLINATION,Sıfat çekimi,GRAMMAR
IMPERATIV,Emir kipi,GRAMMAR
KONJUNKTIV2,Konjunktiv II (nezaket),GRAMMAR
WORTSCHATZ,Kelime bilgisi,VOCAB
LESEVERSTEHEN,Okuduğunu anlama,READING
HOERVERSTEHEN,Dinlediğini anlama,LISTENING
