question_code,option_text,is_correct,order_no
P01,bin,true,1
P01,bist,false,2
P01,ist,false,3
P01,sind,false,4
P02,wohne,false,1
P02,wohnst,false,2
P02,wohnt,true,3
P02,wohnen,false,4
P03,spreche,false,1
P03,sprichst,true,2
P03,spricht,false,3
P03,sprechen,false,4
P04,Der,false,1
P04,Die,false,2
P04,Das,true,3
P04,Den,false,4
P05,Der,false,1
P05,Die,true,2
P05,Das,false,3
P05,Dem,false,4
P06,Der,true,1
P06,Die,false,2
P06,Das,false,3
P06,Den,false,4
P07,Hause,false,1
P07,Häuser,true,2
P07,Häusern,false,3
P07,Hausen,false,4
P08,nicht,false,1
P08,kein,false,2
P08,keine,true,3
P08,nichts,false,4
P09,Wo,false,1
P09,Woher,true,2
P09,Wohin,false,3
P09,Wann,false,4
P10,der,false,1
P10,den,true,2
P10,dem,false,3
P10,des,false,4
P11,ein,false,1
P11,einen,true,2
P11,einem,false,3
P11,eines,false,4
P12,der,false,1
P12,den,true,2
P12,dem,false,3
P12,die,false,4
P13,mein,false,1
P13,meine,true,2
P13,meinen,false,3
P13,meinem,false,4
P14,muss,true,1
P14,musst,false,2
P14,müssen,false,3
P14,müsst,false,4
P15,Kannst,true,1
P15,Kann,false,2
P15,Könnt,false,3
P15,Können,false,4
P16,stehe,true,1
P16,stehst,false,2
P16,steht,false,3
P16,aufstehe,false,4
P17,gehe ich,true,1
P17,ich gehe,false,2
P17,ich gehen,false,3
P17,gehen ich,false,4
P18,besuche ich,true,1
P18,ich besuche,false,2
P18,ich besuchen,false,3
P18,besuchen ich,false,4
P19,am,false,1
P19,um,true,2
P19,im,false,3
P19,in,false,4
P20,der,false,1
P20,den,false,2
P20,dem,true,3
P20,des,false,4
P21,der,true,1
P21,die,false,2
P21,dem,false,3
P21,den,false,4
P22,das,false,1
P22,den,false,2
P22,dem,true,3
P22,der,false,4
P23,habe,true,1
P23,bin,false,2
P23,hat,false,3
P23,ist,false,4
P24,haben,false,1
P24,sind,true,2
P24,hat,false,3
P24,ist,false,4
P25,geschreibt,false,1
P25,geschrieben,true,2
P25,schreibt,false,3
P25,schrieb,false,4
P26,Sprich,true,1
P26,Sprech,false,2
P26,Sprechen,false,3
P26,Sprichst,false,4
P27,bin,false,1
P27,war,true,2
P27,bist,false,3
P27,warst,false,4
P28,habe,false,1
P28,hatte,true,2
P28,hattest,false,3
P28,hat,false,4
P29,der,false,1
P29,den,false,2
P29,dem,true,3
P29,des,false,4
P30,der,false,1
P30,den,true,2
P30,dem,false,3
P30,des,false,4
P31,bin,true,1
P31,ist,false,2
P31,sein,false,3
P31,bist,false,4
P32,kommt,true,1
P32,kommen,false,2
P32,kommt er,false,3
P32,er kommt,false,4
P33,Wenn,true,1
P33,Weil,false,2
P33,Dass,false,3
P33,Ob,false,4
P34,alt,false,1
P34,älter,true,2
P34,am ältesten,false,3
P34,alter,false,4
P35,mir,false,1
P35,mich,true,2
P35,sich,false,3
P35,dich,false,4
P36,neu,false,1
P36,neue,false,2
P36,neuen,true,3
P36,neuer,false,4
P37,Können,false,1
P37,Könnten,true,2
P37,Konnten,false,3
P37,Könnt,false,4
P38,müde,false,1
P38,krank,true,2
P38,gesund,false,3
P38,schnell,false,4
P39,Verspätung,true,1
P39,Termin,false,2
P39,Richtung,false,3
P39,Reise,false,4
Q01,sind,true,1
Q01,bin,false,2
Q01,seid,false,3
Q01,ist,false,4
Q02,Hast,true,1
Q02,Habt,false,2
Q02,Hat,false,3
Q02,Haben,false,4
Q03,lernt,true,1
Q03,lerne,false,2
Q03,lernst,false,3
Q03,lernen,false,4
Q04,liest,true,1
Q04,lese,false,2
Q04,lesen,false,3
Q04,last,false,4
Q05,Die,true,1
Q05,Der,false,2
Q05,Das,false,3
Q05,Den,false,4
Q06,Das,true,1
Q06,Der,false,2
Q06,Die,false,3
Q06,Dem,false,4
Q07,Frauen,true,1
Q07,Fraue,false,2
Q07,Frauns,false,3
Q07,Frau,false,4
Q08,Kinder,true,1
Q08,Kinden,false,2
Q08,Kindes,false,3
Q08,Kind,false,4
Q09,nicht,true,1
Q09,kein,false,2
Q09,keine,false,3
Q09,nichts,false,4
Q10,kein,true,1
Q10,keine,false,2
Q10,nicht,false,3
Q10,keinen,false,4
Q11,Wie viel,true,1
Q11,Wie,false,2
Q11,Was für,false,3
Q11,Wann,false,4
Q12,Wohin,true,1
Q12,Wo,false,2
Q12,Woher,false,3
Q12,Wann,false,4
Q13,einen,true,1
Q13,ein,false,2
Q13,einem,false,3
Q13,eine,false,4
Q14,die,true,1
Q14,der,false,2
Q14,dem,false,3
Q14,den,false,4
Q15,dein,true,1
Q15,deine,false,2
Q15,deinen,false,3
Q15,deinem,false,4
Q16,meinen,true,1
Q16,mein,false,2
Q16,meine,false,3
Q16,meinem,false,4
Q17,müssen,true,1
Q17,muss,false,2
Q17,musst,false,3
Q17,müsst,false,4
Q18,Darf,true,1
Q18,Darfst,false,2
Q18,Dürfe,false,3
Q18,Dürfen,false,4
Q19,fängt ... an,true,1
Q19,anfängt,false,2
Q19,fangt ... an,false,3
Q19,anfangt,false,4
Q20,kommst,true,1
Q20,kommt,false,2
Q20,zurückkommst,false,3
Q20,komme,false,4
Q21,habe,true,1
Q21,ich habe,false,2
Q21,habe ich,false,3
Q21,hat,false,4
Q22,am,true,1
Q22,um,false,2
Q22,im,false,3
Q22,an,false,4
Q23,von ... bis,true,1
Q23,ab ... zu,false,2
Q23,seit ... nach,false,3
Q23,aus ... in,false,4
Q24,zum,true,1
Q24,zur,false,2
Q24,zu der,false,3
Q24,nach,false,4
Q25,der,true,1
Q25,die,false,2
Q25,dem,false,3
Q25,den,false,4
Q26,Mach,true,1
Q26,Machst,false,2
Q26,Machen,false,3
Q26,Macht,false,4
Q27,Warten,true,1
Q27,Wartet,false,2
Q27,Warte,false,3
Q27,Wartest,false,4
Q28,hast,true,1
Q28,bist,false,2
Q28,hat,false,3
Q28,habt,false,4
Q29,ist,true,1
Q29,hat,false,2
Q29,haben,false,3
Q29,sind,false,4
Q30,gelesen,true,1
Q30,gelest,false,2
Q30,liest,false,3
Q30,las,false,4
Q31,waren,true,1
Q31,wart,false,2
Q31,sind,false,3
Q31,hatten,false,4
Q32,konnte,true,1
Q32,kannte,false,2
Q32,könnte,false,3
Q32,konnten,false,4
Q33,im,true,1
Q33,in den,false,2
Q33,ins,false,3
Q33,in,false,4
Q34,an die,true,1
Q34,an der,false,2
Q34,an dem,false,3
Q34,auf der,false,4
Q35,ist,true,1
Q35,sei,false,2
Q35,war,false,3
Q35,bist,false,4
Q36,ob,true,1
Q36,dass,false,2
Q36,wenn,false,3
Q36,weil,false,4
Q37,weil,true,1
Q37,dass,false,2
Q37,wenn,false,3
Q37,ob,false,4
Q38,größer,true,1
Q38,groß,false,2
Q38,am größten,false,3
Q38,mehr groß,false,4
Q39,beste,true,1
Q39,gut,false,2
Q39,besser,false,3
Q39,am besten,false,4
Q40,uns,true,1
Q40,sich,false,2
Q40,euch,false,3
Q40,mich,false,4
Q41,dich,true,1
Q41,dir,false,2
Q41,sich,false,3
Q41,mich,false,4
Q42,schönes,true,1
Q42,schön,false,2
Q42,schöne,false,3
Q42,schönen,false,4
Q43,blauen,true,1
Q43,blau,false,2
Q43,blaue,false,3
Q43,blaues,false,4
Q44,hätte,true,1
Q44,habe,false,2
Q44,hatte,false,3
Q44,haben,false,4
Q45,in der,true,1
Q45,in die,false,2
Q45,im,false,3
Q45,in dem,false,4
Q46,füllen,true,1
Q46,fühlen,false,2
Q46,fallen,false,3
Q46,falten,false,4
