lemma,word_type,article,plural_form,meaning_tr,example_de,example_tr,level,theme
beginnen,VERB,,,başlamak,"Der Film hat schon begonnen.","Film çoktan başladı.",A2,SIK_FIILLER
verlieren,VERB,,,kaybetmek,"Ich habe meinen Ausweis verloren.","Kimliğimi kaybettim.",A2,SIK_FIILLER
gewinnen,VERB,,,kazanmak,"Unsere Mannschaft hat gewonnen.","Takımımız kazandı.",A2,SIK_FIILLER
entscheiden,VERB,,,karar vermek,"Wir haben uns schnell entschieden.","Çabuk karar verdik.",A2,SIK_FIILLER
versuchen,VERB,,,denemek,"Ich habe es zweimal versucht.","İki kez denedim.",A2,SIK_FIILLER
erklären,VERB,,,açıklamak,"Können Sie das noch einmal erklären?","Bunu bir daha açıklayabilir misiniz?",A2,SIK_FIILLER
erzählen,VERB,,,anlatmak,"Erzähl mir von deinem Tag.","Bana gününü anlat.",A2,SIK_FIILLER
bekommen,VERB,,,almak,"Ich habe eine Antwort bekommen.","Bir cevap aldım.",A2,SIK_FIILLER
verlassen,VERB,,,terk etmek,"Er hat das Haus früh verlassen.","Evden erken çıktı.",A2,SIK_FIILLER
passieren,VERB,,,olmak,"Was ist passiert?","Ne oldu?",A2,SIK_FIILLER
steigen,VERB,,,yükselmek,"Die Preise sind gestiegen.","Fiyatlar yükseldi.",A2,SIK_FIILLER
umziehen,VERB,,,taşınmak,"Wir sind nach Hamburg umgezogen.","Hamburg'a taşındık.",A2,SIK_FIILLER
Erfahrung,NOUN,DIE,Erfahrungen,deneyim,"Sie hat viel Erfahrung.","Çok deneyimi var.",A2,BIYOGRAFI
Ausbildung,NOUN,DIE,Ausbildungen,meslek eğitimi,"Er macht eine Ausbildung.","Meslek eğitimi yapıyor.",A2,BIYOGRAFI
Studium,NOUN,DAS,Studien,üniversite eğitimi,"Mein Studium dauert vier Jahre.","Eğitimim dört yıl sürüyor.",A2,BIYOGRAFI
Prüfung,NOUN,DIE,Prüfungen,sınav,"Die Prüfung war schwer.","Sınav zordu.",A2,BIYOGRAFI
Zeugnis,NOUN,DAS,Zeugnisse,belge,"Ich brauche mein Zeugnis.","Belgeme ihtiyacım var.",A2,BIYOGRAFI
Stelle,NOUN,DIE,Stellen,iş yeri,"Ich suche eine neue Stelle.","Yeni bir iş arıyorum.",A2,BIYOGRAFI
Kollege,NOUN,DER,Kollegen,iş arkadaşı,"Mein Kollege hilft mir oft.","İş arkadaşım bana sık sık yardım eder.",A2,BIYOGRAFI
Chef,NOUN,DER,Chefs,patron,"Der Chef ist heute nicht da.","Patron bugün yok.",A2,BIYOGRAFI
Gehalt,NOUN,DAS,Gehälter,maaş,"Das Gehalt ist niedrig.","Maaş düşük.",A2,BIYOGRAFI
Lebenslauf,NOUN,DER,Lebensläufe,özgeçmiş,"Schicken Sie Ihren Lebenslauf.","Özgeçmişinizi gönderin.",A2,BIYOGRAFI
geboren,ADJ,,,doğmuş,"Ich bin in Izmir geboren.","İzmir'de doğdum.",A2,BIYOGRAFI
damals,ADV,,,o zamanlar,"Damals war ich noch Student.","O zamanlar hâlâ öğrenciydim.",A2,BIYOGRAFI
